ID,Type,Date,Length,Weight
1A8E,Wood,1998-03-24,329,36408.40
1A8F,Wood,1998-03-25,329,36408.40
1AIV,Liquid,1997-04-28,686,75929.00
1AOV,Rock,1996-12-11,686,75731.80
1B3E,Wood,1998-12-09,330,36505.50
1D3K,Wood,1999-09-29,329,36407.40
1D4N,Wood,1999-10-04,329,36399.40
1DOT,Rock,1995-08-03,686,75731.80
1DTG,Wood,2000-01-12,334,36878.90
1FQE,Wood,2000-09-04,331,36546.60
1FQF,Wood,2000-09-04,331,36546.60
1H76,Other,2001-07-03,696,77067.90
1IEJ,Liquid,2001-04-10,332,36542.30
1IQ7,Liquid,2001-07-06,345,38421.60
1JNF,Other,2001-07-24,676,74891.10
1JQF,Wood,2001-08-06,334,36891.90
1LFI,Wood,1992-02-10,691,76250.20
1N04,Liquid,2002-10-11,686,75929.00
1N7W,Wood,2002-11-18,331,36677.70
1N7X,Wood,2002-11-18,331,36570.60
1N84,Wood,2002-11-19,331,36604.70
1NFT,Liquid,1999-01-07,329,36249.00
1NNT,Liquid,1993-09-15,328,36105.80
1OQG,Wood,2003-03-09,337,37229.30
1OQH,Wood,2003-03-10,337,37129.20
1OVT,Liquid,1995-04-28,686,75929.00
1RYO,Wood,2003-12-22,327,36214.20
1RYX,Liquid,2003-12-23,686,75929.00
1TFA,Liquid,1999-01-07,329,36249.00
1TFD,Other,1990-08-16,304,33548.10
2D3I,Liquid,2005-09-28,686,75957.10
2O84,Wood,2006-12-12,337,37215.20
3FGS,Wood,2008-12-08,337,37315.30
3QYT,Wood,2011-03-03,679,75284.50
3SKP,Wood,2011-06-22,342,38015.20
4H0W,Wood,2012-09-10,679,75298.50
4X1B,Wood,2014-11-24,679,75284.50
5H52,Wood,2016-11-04,679,75284.50
5WTD,Wood,2016-12-11,679,75284.50
5X5P,Wood,2017-02-17,679,75298.50
6CTC,Wood,2018-03-22,679,75298.50